precip	snow.removal	plot_ID	year	sample
mock rainout	Early	2B	2018	2B87_July5_07292018
mock rainout	Early	2B	2019	2B92_190722_7272019_13
mock rainout	Early	2B	2019	2B99_190729_812019_07
rainout	Early	2C	2018	2C100_July9_07302018
rainout	Early	2C	2019	2C202_190724_7282019_15
rainout	Early	2C	2019	2C202_190726_822019_07_NOT_2D212B_190726_822019_06
rainout	Early	2C	2019	2C202_190729_812019_11
rainout	Early	2C	2018	2C258July24_07252018
rainout	Early	2C	2018	2C265_July11_08042018
rainout	Early	2C	2018	2C266_July5_07302018
rainout	Early	2C	2019	2C268_190722_7272019_10
rainout	Early	2C	2019	2C268_190729_812019_06
rainout	Early	2C	2018	2C276_July9_08012018_2B199_July9_08012018
rainout	Early	2C	2019	2C277_190729_812019_08
rainout	Early	2C	2019	2C288_190729_812019_16
rainout	Early	2C	2019	2C298_190729_812019_02
rainout	Early	2C	2019	2C300_190724_7272019_24
rainout	Early	2C	2019	2C300_190726_822019_11_NOT_2D256_190726_822019_10
add H20	Early	2D	2018	2D189_July11_08042018
add H20	Early	2D	2018	2D189_July17_08042018
add H20	Early	2D	2018	2D200_July24_07262018
add H20	Early	2D	2018	2D200_June29_07292018
add H20	Early	2D	2019	2D205_190726_822019_09_NOT_2D212A_190726_822019_08
add H20	Early	2D	2018	2D206_2_Aug2_08022018_2D206_Aug2_08022018
add H20	Early	2D	2018	2D206_Aug2_08022018_3C163_Aug2_08022018
add H20	Early	2D	2018	2D206_July24_07262018
add H20	Early	2D	2019	2D209_190726_822019_05_NOT_1B657_190726_822019_04
add H20	Early	2D	2019	2D211_190707_7262019_19_NOT_3C183_190717_7262019_18
add H20	Early	2D	2019	2D212A_190726_822019_08_NOT_ 2C202_190726_822019_07
add H20	Early	2D	2019	2D212B_190726_822019_06_NOT_2D209_190726_822019_05
add H20	Early	2D	2018	2D212July09_07182018
add H20	Early	2D	2018	2D218_July17_08042018
add H20	Early	2D	2018	2D218_July5_07292018
add H20	Early	2D	2018	2D218July11_07182018
add H20	Early	2D	2019	2D221_190724_7272019_16
add H20	Early	2D	2019	2D222_190724_7282019_05
add H20	Early	2D	2019	2D256_190726_822019_10_NOT_2D205_190726_822019_09
add H20	Early	2D	2019	2D257_190722_7272019_12
add H20	Early	2D	2019	2D258_190724_7282019_06
add H20	Early	2D	2018	2D258_July6_07282018
rainout	Control	3A	2019	3A120_190722_7282019_10
rainout	Control	3A	2018	3A127_July5_08022018_5C205_July6_08022018
rainout	Control	3A	2018	3A127July09_07182018
rainout	Control	3A	2018	3A128_Aug2_08022018_Air_Aug2_08022018
rainout	Control	3A	2018	3A128_June29_07292018
rainout	Control	3A	2018	3A128_v2_Aug2_08032018
rainout	Control	3A	2019	3A172_190724_7282019_04
rainout	Control	3A	2019	3A642_190724_7282019_07
rainout	Control	3A	2018	3A647_July5_08032018
rainout	Control	3A	2019	3A659_190724_812019_11
mock rainout	Control	3B	2018	3B601_July24_07262018
mock rainout	Control	3B	2018	3B601July09_07182018
mock rainout	Control	3B	2019	3B605_190729_812019_15
mock rainout	Control	3B	2019	3B686_190724_822019_17_NOT_5B19_190724_822019_16
mock rainout	Control	3B	2019	3B687_190724_812019_14
mock rainout	Control	3B	2019	3B823_190729_812019_09
mock rainout	Control	3B	2018	3B824_July5_08032018
mock rainout	Control	3B	2018	3B833_July24_07262018
mock rainout	Control	3B	2018	3B833_June28_07282018
add H20	Control	3C	2019	3C131_190726_822019_03_NOT_Air_190729_822019_02
add H20	Control	3C	2019	3C140_190726_822019_10_NOT_5A193_190726_822019_09
add H20	Control	3C	2019	3C142_190726_822019_13_NOT_3C146_190726_822019_12
add H20	Control	3C	2019	3C146_190726_822019_12_NOT_2C300_190726_822019_11
add H20	Control	3C	2018	3C147__1_Aug2_July30_08022018
add H20	Control	3C	2018	3C147_2_Aug2_08022018_3D858_Aug2_08022018
add H20	Control	3C	2018	3C147_July5_07292018
add H20	Control	3C	2018	3C147July24_07252018
add H20	Control	3C	2019	3C148_190726_812019_05
add H20	Control	3C	2019	3C149_190724_822019_03
add H20	Control	3C	2018	3C156_July9_07302018
add H20	Control	3C	2019	3C161__190726_822019_18_NOT_3B686_190724_822019_17
add H20	Control	3C	2018	3C163_Aug2_08022018_3C147_2_Aug2_08022018
add H20	Control	3C	2018	3C163_July5_08032018
add H20	Control	3C	2019	3C167_190722_822019_05
add H20	Control	3C	2018	3C168_June29_07282018
add H20	Control	3C	2018	3C171_July5_07302018
add H20	Control	3C	2018	3C171_July9_07282018
add H20	Control	3C	2018	3C171_July9_v2_07302018
add H20	Control	3C	2019	3C179_190729_812019_10
add H20	Control	3C	2019	3C182_190729_812019_04
add H20	Control	3C	2019	3C183_190717_7262019_18_NOT_4C109_190716_7262019_17
add H20	Control	3C	2019	3C183_190722_7272019_19
add H20	Control	3C	2019	3C184_190722_7272019_20
add H20	Control	3C	2019	3C184_190726_812019_14
add H20	Control	3C	2019	3C185_190726_812019_03
add H20	Control	3C	2019	3C214_190716_7262019_12_NOT_3D282_190716_7262019_11
add H20	Control	3C	2018	3C94July16_07162018
add H20	Control	3C	2018	3C98_July5_08042018
add H20	Control	3C	2018	3C98July24_07252018
Control	Control	3D	2019	3D256_190716_7262019_09_NOT_1B684_190717_7262019_08
Control	Control	3D	2018	3D853_July5_08032018
Control	Control	3D	2018	3D858_Aug2_08022018_3A127_July5_08022018
Control	Control	3D	2018	3D858_July16_07262018
Control	Control	3D	2018	3D858_July16_07282018
Control	Control	3D	2018	3D858_July16v2_07282018
Control	Control	3D	2018	3D879_July9_07282018
NA	NA	NA	2019	42_60_190722_7282019_03
add H20	Early	4A	2018	4A117_July11_08042018
add H20	Early	4A	2019	4A123_190716_7262019_04_NOT_6C108_190707_7262019_03
add H20	Early	4A	2018	4A63_Aug2_08022018_1A232_1_Aug2_08022018
add H20	Early	4A	2019	4A68_190717_7272019_26
add H20	Early	4A	2018	4A69_June28_07292018
add H20	Early	4A	2018	4A75_July6_07302018
add H20	Early	4A	2019	4A89_190724_812019_23
add H20	Early	4A	2018	4A90July11_07182018
add H20	Early	4A	2018	4A95_July6_07302018
mock rainout	Early	4B	2019	4B168_190716_7262019_15_NOT_1C43_190717_7262019_14
mock rainout	Early	4B	2019	4B173_190724_812019_20
mock rainout	Early	4B	2018	4B175_July11_08032018
mock rainout	Early	4B	2018	4B189_June28_07282018
Control	Early	4C	2018	4C_118_July6_08022018_Air_July6_08022018
Control	Early	4C	2019	4C109_190716_7262019_17_NOT_nolabel_190716_7262019_16
Control	Early	4C	2019	4C115_190724_812019_21
Control	Early	4C	2019	4C199_190724_7282019_19
Control	Early	4C	2019	4C642_190724_7272019_18
Control	Early	4C	2019	4C643_190724_812019_24
rainout	Early	4D	2019	4D199_190717_7262019_20_NOT_2D211_190707_7262019_19
rainout	Early	4D	2018	4D26_July6_07302018
rainout	Early	4D	2018	4D35_July6_07302018
rainout	Early	4D	2019	4D357_190722_7262019_NOT_22_Air_190717_7262019_21
rainout	Early	4D	2019	4D43_190724_7272019_27
rainout	Early	4D	2018	4D45_July11_08032018
rainout	Early	4D	2018	4D45_July17_08042018
rainout	Early	4D	2018	4D45_June28_07302018
rainout	Early	4D	2019	4D58_190724_812019_16
rainout	Early	4D	2019	4D61_190716_7262019_10
rainout	Early	4D	2019	4D61_190716_7262019_10_NOT_3D256_190716_7262019_09
rainout	Early	4D	2019	4D62_190724_7282019_20
rainout	Early	4D	2019	4D641_190724_7282019_21
add H20	Early	5A	2018	5A173_2_July30_08012018
add H20	Early	5A	2018	5A173_July16_08042018
add H20	Early	5A	2018	5A173_July30_08012018_6B25_July30_08012018
add H20	Early	5A	2019	5A174_190724_822019_11_NOT_3C140_190726_822019_10
add H20	Early	5A	2018	5A175_July3_07282018
add H20	Early	5A	2018	5A175_July30_08012018_6D45_08012018
add H20	Early	5A	2018	5A175_v2_July30_08022018
add H20	Early	5A	2018	5A175_v3_July30_08032018
add H20	Early	5A	2018	5A176_July9_07292018
add H20	Early	5A	2019	5A179_190724_822019_12_NOT_5A174_190724_822019_11
add H20	Early	5A	2018	5A180July09_07182018
add H20	Early	5A	2018	5A181_July30_08012018_6C102_1_July30_08012018
add H20	Early	5A	2018	5A181_June25v2_07282018
add H20	Early	5A	2019	5A183_190724_7282019_18
add H20	Early	5A	2018	5A189_July6_07302018
add H20	Early	5A	2018	5A194_July6_07302018
add H20	Early	5A	2019	5A195_190726_812019_02
add H20	Early	5A	2019	5A196_190726_812019_19
add H20	Early	5A	2019	5A201_190726_812019_04
add H20	Early	5A	2019	5A203_190726_812019_07
mock rainout	Early	5B	2019	5B1_190717_7272019_08
mock rainout	Early	5B	2018	5B15_July6_08032018
mock rainout	Early	5B	2018	5B15_July9_08052018
mock rainout	Early	5B	2019	5B17_190726_822019_07
mock rainout	Early	5B	2019	5B19_190724_822019_16_NOT_5B3_190724_822019_15
mock rainout	Early	5B	2018	5B22_July9_08042018
mock rainout	Early	5B	2018	5B292_July9_07292018
mock rainout	Early	5B	2019	5B3_190724_822019_15_NOT_6C122_190724_822019_14
mock rainout	Early	5B	2018	5B7_July3_07292018
rainout	Early	5C	2018	5C103_July3_07282018
rainout	Early	5C	2019	5C151_190724_822019_02
rainout	Early	5C	2019	5C201_190724_7282019_08
rainout	Early	5C	2018	5C205_July6_08022018_4C_118_July6_08022018
rainout	Early	5C	2018	5C206_July5_08032018
rainout	Early	5C	2019	5C209_190726_812019_18
rainout	Early	5C	2019	5C214_190717_7272019_06
rainout	Early	5C	2019	5C214_190722_7272019_23
rainout	Early	5C	2018	5C216_July30_08012018_Air_July30_08012018
rainout	Early	5C	2018	5C216July24_07252018
rainout	Early	5C	2019	5C217_190726_812019_20
rainout	Early	5C	2018	5C220_July3_07292018
rainout	Early	5C	2018	5C221_July30_08012018_6C82_July30_08012018
rainout	Early	5C	2019	5C228_190722_7272019_21
rainout	Early	5C	2019	5C229_190724_7282019_09
Control	Early	5D	2018	5D228July06_07182018
Control	Early	5D	2018	5D232_July5_08032018
Control	Early	5D	2018	5D232_July6_07292018
Control	Early	5D	2019	5D234_190726_812019_17
Control	Early	5D	2019	5D234_190726_812019_19
Control	Early	5D	2019	5D240_190729_812019_12
Control	Early	5D	2018	5D245_July6_08032018
Control	Early	5D	2019	5D246_190724_822019_06
Control	Early	5D	2018	5D251_July5_08022018_5A182_July9_08_02_2018
Control	Early	5D	2019	5D257_190722_7282019_02
Control	Early	5D	2019	5D264_190717_7272019_07
Control	Early	5D	2019	5D266_190729_812019_03
Control	Control	6A	2018	6A125_July9_08042018
Control	Control	6A	2018	6A143_July9_07282018
Control	Control	6A	2019	6A156_190717_7272019_04
Control	Control	6A	2018	6A160_July30_08012018
Control	Control	6A	2018	6A166_July3_07292018
Control	Control	6A	2018	6A167_July9_08052018
rainout	Control	6B	2018	6B20_July6_07302018
rainout	Control	6B	2019	6B23_190724_822019_04
rainout	Control	6B	2018	6B25_July30_08012018_5A181_July30_08012018
rainout	Control	6B	2018	6B26_June25_07292018
rainout	Control	6B	2018	6B28_July16_08042018
rainout	Control	6B	2018	6B28_July3_07282018
rainout	Control	6B	2019	6B29_190717_7272019_05
rainout	Control	6B	2018	6B34_July30_08012018_6C102_July30_08012018
rainout	Control	6B	2018	6B34_July6_07302018
rainout	Control	6B	2019	6B35_190724_7272019_17
rainout	Control	6B	2018	6B632_July6_07302018
mock rainout	Control	6C	2018	6C102_1_July30_08012018_5C221_July30_08012018
mock rainout	Control	6C	2018	6C102_July30_08012018_6D38_July30_08012018
mock rainout	Control	6C	2018	6C106_July16_08042018
mock rainout	Control	6C	2018	6C109_July6_07302018
mock rainout	Control	6C	2019	6C122_190724_822019_14_NOT_6D39_190724_822019_13
mock rainout	Control	6C	2018	6C271_July16_08042018
mock rainout	Control	6C	2018	6C78_June27_07282018
mock rainout	Control	6C	2018	6C82_July16_08042018
mock rainout	Control	6C	2018	6C82_July30_08012018_5C216_July30_08012018
mock rainout	Control	6C	2019	6C83_190717_7262019_23_NOT_4D357_190722_7262019_22
mock rainout	Control	6C	2018	6C87_July30_08012018_6B34_July30_08012018
add H20	Control	6D	2018	6D167_July9_08042018
add H20	Control	6D	2018	6D258_2_July3_07292018
add H20	Control	6D	2018	6D258_3_July3_07302018
add H20	Control	6D	2018	6D258_July3_07282018
add H20	Control	6D	2018	6D38_July30_08012018_2C276_July9_08012018
add H20	Control	6D	2019	6D39_190724_822019_13_NOT_5A179_190724_822019_12
add H20	Control	6D	2019	6D40_190717_7272019_03
add H20	Control	6D	2018	6D45_July30_08012018_5A173_July30_08012018
add H20	Control	6D	2019	6D50_190726_812019_13
add H20	Control	6D	2018	6D51_July9_08042018
add H20	Control	6D	2018	6D55_July16_07262018
add H20	Control	6D	2018	6D66_July5_07302018
add H20	Control	6D	2019	6D80_190726_812019_17
add H20	Control	6D	2019	6D81_190726_812019_06
NA	NA	AIR	2019	Air_190716_7262019_05_NOT_4A123_190716_7262019_04
NA	NA	AIR	2019	Air_190716_7262019_06_NOT_Air_190716_7262019_05
NA	NA	AIR	2019	Air_190717_7262019_21_NOT_4D199_190717_7262019_20
NA	NA	AIR	2019	Air_190722_7282019_12
NA	NA	AIR	2019	AIR_190729_822019_08
NA	NA	AIR	2019	Air_2__190729_812019_18
NA	NA	AIR	2019	Air_2_LS_190724_812019_15
NA	NA	AIR	2019	Air_6C_190717_7272019_02
NA	NA	AIR	2018	Air_Aug2_08022018_4A63_Aug2_08022018
NA	NA	AIR	2019	Air_HB_190724_7272019_25
NA	NA	AIR	2018	Air_July16_07262018
NA	NA	AIR	2018	Air_July3_07302018
NA	NA	AIR	2018	Air_July30_08012018_6C87_July30_08012018
NA	NA	AIR	2018	Air_July5_08032018
NA	NA	AIR	2018	Air_July6_08022018_5D251_July5_08022018
NA	NA	AIR	2018	Air_July9_08032018
NA	NA	AIR	2018	Air_June28_07292018
NA	NA	AIR	2019	Air_LS_190724_812019_22
NA	NA	AIR	2019	Air1_190726_822019_19
NA	NA	AIR	2019	Air1_190726_822019_19_NOT_3C161__190726_822019_18
NA	NA	AIR	2018	AirJuly11_07182018
NA	NA	AIR	2018	AirJuly16_07262018
NA	NA	AIR	2018	AirJuly24_07252018
NA	NA	AIR	2018	AirJune29_07282018
NA	NA	NA	2019	nolabel_190716_7262019_16_NOT_4B168_190716_7262019_15
