index,plot,subplot,plotid,plant,plantid,status_18,status_18r2,status_19,status_20,transition_1819,transition_1920,transition_181920,check_19_20_20,census18,notes_18,other_notes_18,census18r2,other_notes_18r2,pheno18,floral18,seeds18,leaf18,census19,notes_19,other_notes_19,pheno19,floral19,seeds19,leaf19,census20,notes_20,other_notes_20,pheno20,floral20,volatiles20,seeds20,leaf20,total_obs
51,1,B,1B,247,1B247,no_record,no_record,vegetative,no_record,no_record > vegetative,vegetative > no_record,no_record > vegetative > no_record,,,,,,,,,,,1,ts,ts,,,,,,,,,,,,,1
52,1,B,1B,248,1B248,no_record,no_record,dead_nf,no_record,no_record > dead_nf,dead_nf > no_record,no_record > dead_nf > no_record,,,,,,,,,,,1,dead,dead,,,,,,,,,,,,,1
53,1,B,1B,252,1B252,no_record,no_record,vegetative,no_record,no_record > vegetative,vegetative > no_record,no_record > vegetative > no_record,,,,,,,,,,,1,blank,,,,,,,,,,,,,,1
54,1,B,1B,258,1B258,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
55,1,B,1B,259,1B259,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
56,1,B,1B,284,1B284,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
57,1,B,1B,647,1B647,vegetative,vegetative,vegetative,vegetative,vegetative > vegetative,vegetative > vegetative,vegetative > vegetative > vegetative,,2,blank,,1,,,,,,2,ts,1 ts,,,,,1,blank,,,,,,2,8
58,1,B,1B,648,1B648,vegetative,vegetative,flowering,dead_nf,vegetative > flowering,flowering > dead_nf,vegetative > flowering > dead_nf,,2,blank,,1,,,,,,2,blank,,2,4,1,,1,nf,,,,,,,13
59,1,B,1B,649,1B649,vegetative,vegetative,vegetative,flowering,vegetative > vegetative,vegetative > flowering,vegetative > vegetative > flowering,,2,blank,,1,,,,,,2,blank,,,,,,1,blank,,3,4,1,1,,15
60,1,B,1B,650,1B650,vegetative,vegetative,vegetative,flowering,vegetative > vegetative,vegetative > flowering,vegetative > vegetative > flowering,,2,blank,,1,,,,,,2,blank,,,,,2,1,blank,,3,2,3,1,,17
61,1,B,1B,651,1B651,vegetative,vegetative,dead_nf,dead_nf,vegetative > dead_nf,dead_nf > dead_nf,vegetative > dead_nf > dead_nf,,2,blank,,1,,,,,,2,dead,dead,,,,,1,nf,,,,,,,6
62,1,B,1B,652,1B652,vegetative,vegetative,vegetative,vegetative,vegetative > vegetative,vegetative > vegetative,vegetative > vegetative > vegetative,,2,blank,,1,,,,,,2,ts,"UL of tag, ts",,,,,1,blank,,,,,,,6
63,1,B,1B,653,1B653,vegetative,vegetative,vegetative,flowering,vegetative > vegetative,vegetative > flowering,vegetative > vegetative > flowering,,2,blank,,1,,,,,,2,blank,,,,,,1,blank,,3,4,2,1,,16
64,1,B,1B,654,1B654,vegetative,vegetative,dead_nf,dead_nf,vegetative > dead_nf,dead_nf > dead_nf,vegetative > dead_nf > dead_nf,,2,blank,,1,,,,,1,2,nf,nf,,,,,1,nf,,,,,,,7
65,1,B,1B,655,1B655,flowering,no_record,dead_nf,dead_nf,flowering > dead_nf,dead_nf > dead_nf,flowering > dead_nf > dead_nf,,2,blank,,,,14,3,1,,2,nf,nf,,,,,1,nf,,,,,,,23
66,1,B,1B,656,1B656,vegetative,vegetative,vegetative,flowering,vegetative > vegetative,vegetative > flowering,vegetative > vegetative > flowering,,2,blank,,1,,,,,,2,ts,2 ts,,,,,1,blank,,4,3,1,1,,15
67,1,B,1B,657,1B657,vegetative,vegetative,flowering,dead_nf,vegetative > flowering,flowering > dead_nf,vegetative > flowering > dead_nf,,2,blank,,1,,,,,2,2,blank,,3,5,1,,1,nf,,,,,,,17
68,1,B,1B,658,1B658,vegetative,vegetative,vegetative,flowering,vegetative > vegetative,vegetative > flowering,vegetative > vegetative > flowering,,2,blank,,1,,,,,,2,blank,,,,,,1,blank,,4,2,,1,,13
69,1,B,1B,659,1B659,vegetative,vegetative,vegetative,vegetative,vegetative > vegetative,vegetative > vegetative,vegetative > vegetative > vegetative,,2,blank,,1,,,,,,2,ts,2 ts,,,,,1,blank,,,,,,2,8
70,1,B,1B,66,1B66,no_record,no_record,no_record,dead_nf,no_record > no_record,no_record > dead_nf,no_record > no_record > dead_nf,check tag #,,,,,,,,,,,,,,,,,1,nf,,,,,,,1
71,1,B,1B,660,1B660,vegetative,vegetative,vegetative,vegetative,vegetative > vegetative,vegetative > vegetative,vegetative > vegetative > vegetative,,2,blank,,1,,,,,2,2,ts,4 ts,,,,1,1,chewed,,,,,,,9
72,1,B,1B,661,1B661,vegetative,vegetative,vegetative,dead_nf,vegetative > vegetative,vegetative > dead_nf,vegetative > vegetative > dead_nf,,2,blank,,1,,,,,,2,blank,,,,,,1,nf,,,,,,2,8
73,1,B,1B,662,1B662,vegetative,vegetative,vegetative,no_record,vegetative > vegetative,vegetative > no_record,vegetative > vegetative > no_record,,2,blank,,1,,1,,,,2,blank,,,,,2,,,,,,,,,8
74,1,B,1B,663,1B663,vegetative,vegetative,vegetative,vegetative,vegetative > vegetative,vegetative > vegetative,vegetative > vegetative > vegetative,,2,blank,,1,,,,,,2,blank,,,,,,1,blank,,,,,,,6
75,1,B,1B,664,1B664,flowering,no_record,dead_nf,dead_nf,flowering > dead_nf,dead_nf > dead_nf,flowering > dead_nf > dead_nf,,2,blank,,,,8,6,1,,2,dead,dead,,,,,1,nf,,,,,,,20
76,1,B,1B,665,1B665,flowering,vegetative,vegetative,vegetative,flowering > vegetative,vegetative > vegetative,flowering > vegetative > vegetative,,2,blank,,1,,1,,1,,2,ts,"down from tag, ts",,,,,2,blank,,,,,,,9
77,1,B,1B,666,1B666,vegetative,vegetative,vegetative,vegetative,vegetative > vegetative,vegetative > vegetative,vegetative > vegetative > vegetative,,2,blank,,1,,,,,,2,blank,L of tag by about 1 inch,,,,,1,blank,,,,,,,6
78,1,B,1B,667,1B667,vegetative,vegetative,dead_nf,dead_nf,vegetative > dead_nf,dead_nf > dead_nf,vegetative > dead_nf > dead_nf,,2,blank,,1,,,,,,2,dead,dead,,,,,1,nf,,,,,,,6
79,1,B,1B,668,1B668,flowering,no_record,recheck,dead_nf,flowering > recheck,recheck > dead_nf,flowering > recheck > dead_nf,,2,blank,,,,11,2,,,2,nf,nf,,,,,1,nf,,,,,,,18
80,1,B,1B,669,1B669,vegetative,vegetative,vegetative,vegetative,vegetative > vegetative,vegetative > vegetative,vegetative > vegetative > vegetative,,2,blank,,1,,,,,,2,blank,,,,,2,1,blank,,,,,,,8
81,1,B,1B,670,1B670,vegetative,vegetative,flowering,dead_nf,vegetative > flowering,flowering > dead_nf,vegetative > flowering > dead_nf,,2,blank,,1,,,,,1,2,blank,,3,4,1,,1,nf,,,,,,,15
82,1,B,1B,671,1B671,vegetative,vegetative,vegetative,dead_nf,vegetative > vegetative,vegetative > dead_nf,vegetative > vegetative > dead_nf,,2,blank,,1,,,,,,2,ts,1 ts,,,,,1,dead,,,,,,,6
83,1,B,1B,672,1B672,vegetative,vegetative,vegetative,flowering,vegetative > vegetative,vegetative > flowering,vegetative > vegetative > flowering,,2,blank,,1,,,,,,2,blank,,,,,,1,blank,,5,5,1,1,,18
84,1,B,1B,673,1B673,vegetative,vegetative,vegetative,vegetative,vegetative > vegetative,vegetative > vegetative,vegetative > vegetative > vegetative,,2,blank,,1,,,,,,2,ts,1 ts,,,,,1,blank,,,,,,,6
85,1,B,1B,674,1B674,vegetative,vegetative,vegetative,vegetative,vegetative > vegetative,vegetative > vegetative,vegetative > vegetative > vegetative,,2,blank,,1,,,,,,2,blank,,,,,,1,blank,,,,,,2,8
86,1,B,1B,675,1B675,flowering,vegetative,dead_nf,dead_nf,flowering > dead_nf,dead_nf > dead_nf,flowering > dead_nf > dead_nf,,2,blank,,1,,12,,1,,2,dead,dead,,,,,1,nf,,,,,,,19
87,1,B,1B,676,1B676,recheck,no_record,dead_nf,tagnf,recheck > dead_nf,dead_nf > tagnf,recheck > dead_nf > tagnf,,2,tagnf,,,,,,,,2,dead,dead,,,,,1,tagnf,,,,,,,5
88,1,B,1B,677,1B677,vegetative,vegetative,vegetative,tagnf,vegetative > vegetative,vegetative > tagnf,vegetative > vegetative > tagnf,,2,blank,,1,,,,,,2,blank,,,,,2,1,tagnf,,,,,,,8
89,1,B,1B,678,1B678,flowering,no_record,dead_nf,dead_nf,flowering > dead_nf,dead_nf > dead_nf,flowering > dead_nf > dead_nf,,2,blank,,,,14,5,1,,2,nf,nf,,,,,1,nf,,,,,,,25
90,1,B,1B,679,1B679,recheck,no_record,vegetative,no_record,recheck > vegetative,vegetative > no_record,recheck > vegetative > no_record,,2,tagnf,,,,,,,,2,blank,,,,,,,,,,,,,,4
91,1,B,1B,680,1B680,recheck,no_record,vegetative,no_record,recheck > vegetative,vegetative > no_record,recheck > vegetative > no_record,,2,tagnf,,,,,,,,2,blank,,,,,,,,,,,,,,4
92,1,B,1B,681,1B681,recheck,no_record,vegetative,no_record,recheck > vegetative,vegetative > no_record,recheck > vegetative > no_record,,2,tagnf,,,,,,,,2,blank,,,,,,,,,,,,,,4
93,1,B,1B,682,1B682,recheck,no_record,vegetative,no_record,recheck > vegetative,vegetative > no_record,recheck > vegetative > no_record,,2,tagnf,,,,,,,,2,blank,,,,,,,,,,,,,,4
94,1,B,1B,683,1B683,recheck,no_record,vegetative,no_record,recheck > vegetative,vegetative > no_record,recheck > vegetative > no_record,,2,tagnf,,,,,,,,2,blank,,,,,,,,,,,,,,4
95,1,B,1B,684,1B684,vegetative,vegetative,flowering,vegetative,vegetative > flowering,flowering > vegetative,vegetative > flowering > vegetative,flowered and lived?,2,blank,,1,,,,,2,2,blank,,3,6,2,,1,blank,,,,,,,19
96,1,B,1B,685,1B685,recheck,no_record,flowering,tagnf,recheck > flowering,flowering > tagnf,recheck > flowering > tagnf,,2,tagnf,,,,,,,,2,blank,,,,,,1,tagnf,,,,,,,5
97,1,B,1B,899,1B899,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,3
98,1,B,1B,99,1B99,,,,,,,,,,,,,,11,2,1,,,,,,,,,,,,,,,,,14
99,1,B,1B,687,1B687,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
100,1,B,1B,air,1Bair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
101,1,B,1B,564,1B564,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
102,1,B,1B,246*,1B246*,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
103,1,B,1B,,1BNA,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
104,1,C,1C,275,1C275,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
105,1,C,1C,279,1C279,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
106,1,C,1C,29,1C29,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,2
107,1,C,1C,35,1C35,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
108,1,C,1C,42,1C42,vegetative,vegetative,dead_nf,dead_nf,vegetative > dead_nf,dead_nf > dead_nf,vegetative > dead_nf > dead_nf,,1,blank,,1,,,,,,1,dead,dead,,,,,1,nf,,,,,,,4
109,1,C,1C,43,1C43,vegetative,vegetative,flowering,dead_nf,vegetative > flowering,flowering > dead_nf,vegetative > flowering > dead_nf,,1,blank,,1,,,,,,1,blank,,5,6,1,,1,nf,,,,,,,16
110,1,C,1C,44,1C44,vegetative,vegetative,dead_nf,dead_nf,vegetative > dead_nf,dead_nf > dead_nf,vegetative > dead_nf > dead_nf,,1,blank,,1,,,,,2,1,nf,nf,,,,,1,nf,,,,,,,6
111,1,C,1C,45,1C45,vegetative,vegetative,vegetative,dead_nf,vegetative > vegetative,vegetative > dead_nf,vegetative > vegetative > dead_nf,died and nf?,1,blank,,1,,,,,,1,ts,ts,,,,,1,nf,,,,,,,4
112,1,C,1C,46,1C46,vegetative,vegetative,vegetative,flowering,vegetative > vegetative,vegetative > flowering,vegetative > vegetative > flowering,,1,blank,,1,,,,,,1,blank,,,,,2,1,blank,,5,4,1,1,,17
113,1,C,1C,47,1C47,vegetative,vegetative,flowering,dead_nf,vegetative > flowering,flowering > dead_nf,vegetative > flowering > dead_nf,,1,blank,,1,looks like ther were 4 rossettes but one died,,,,,1,blank,,4,6,2,,1,nf,"tag found detached, not near any plants",,,,,,16
114,1,C,1C,48,1C48,vegetative,recheck,vegetative,vegetative,vegetative > vegetative,vegetative > vegetative,vegetative > vegetative > vegetative,,1,blank,,1,couldn't find,,,,,1,blank,,,,,,1,blank,,,,,,,4
115,1,C,1C,49,1C49,vegetative,vegetative,vegetative,vegetative,vegetative > vegetative,vegetative > vegetative,vegetative > vegetative > vegetative,,1,blank,,1,,,,,2,1,blank,,1,,,1,1,blank,,,,,,2,10
116,1,C,1C,50,1C50,vegetative,flowering,dead_nf,dead_nf,vegetative > dead_nf,dead_nf > dead_nf,vegetative > dead_nf > dead_nf,,1,blank,,1,flowering plant?,12,6,1,,1,dead,dead,,,,,1,nf,,,,,,,23
117,1,C,1C,51,1C51,vegetative,vegetative,dead_nf,dead_nf,vegetative > dead_nf,dead_nf > dead_nf,vegetative > dead_nf > dead_nf,,1,blank,,1,,,,,,1,dead,dead,,,,,1,nf,,,,,,,4
118,1,C,1C,52,1C52,vegetative,vegetative,dead_nf,dead_nf,vegetative > dead_nf,dead_nf > dead_nf,vegetative > dead_nf > dead_nf,,1,blank,,1,,,,,,1,dead,dead,,,,,1,nf,,,,,,,4
119,1,C,1C,53,1C53,vegetative,vegetative,vegetative,vegetative,vegetative > vegetative,vegetative > vegetative,vegetative > vegetative > vegetative,,1,blank,,1,,,,,,1,blank,,,,,2,1,blank,,,,,,,6
120,1,C,1C,54,1C54,vegetative,vegetative,vegetative,flowering,vegetative > vegetative,vegetative > flowering,vegetative > vegetative > flowering,,1,blank,,1,,,,,,1,blank,,,,,,1,blank,,4,3,,1,,12
121,1,C,1C,55,1C55,vegetative,vegetative,vegetative,vegetative,vegetative > vegetative,vegetative > vegetative,vegetative > vegetative > vegetative,,1,blank,,1,,,,,,1,ts,ts,,,,,1,blank,,,,,,2,6
122,1,C,1C,56,1C56,vegetative,vegetative,vegetative,vegetative,vegetative > vegetative,vegetative > vegetative,vegetative > vegetative > vegetative,,1,blank,,1,,,,,,1,ts,5ts,,,,,1,blank,,,,,,2,6
123,1,C,1C,57,1C57,vegetative,vegetative,vegetative,vegetative,vegetative > vegetative,vegetative > vegetative,vegetative > vegetative > vegetative,,1,blank,,1,,,,,,1,blank,,,,,,1,blank,,,,,,,4
124,1,C,1C,58,1C58,vegetative,vegetative,tagnf,vegetative,vegetative > tagnf,tagnf > vegetative,vegetative > tagnf > vegetative,tagnf last year,1,blank,,1,,,,,,1,tagnf,tagnf,,,,,1,blank,,,,,,2,6
125,1,C,1C,59,1C59,vegetative,dead_nf,dead_nf,vegetative,vegetative > dead_nf,dead_nf > vegetative,vegetative > dead_nf > vegetative,refound?,1,blank,,1,completely dead and uprooted,,,,,1,nf,nf,,,,,3,blank,,,,,,,6
126,1,C,1C,60,1C60,vegetative,vegetative,vegetative,flowering,vegetative > vegetative,vegetative > flowering,vegetative > vegetative > flowering,,1,blank,,1,,,,,2,1,blank,,,,,3,1,blank,,5,4,2,1,,21
127,1,C,1C,61,1C61,flowering,no_record,dead_nf,dead_nf,flowering > dead_nf,dead_nf > dead_nf,flowering > dead_nf > dead_nf,,1,blank,,,,10,7,1,,1,nf,nf,,,,,1,nf,,,,,,,21
128,1,C,1C,62,1C62,flowering,no_record,dead_nf,dead_nf,flowering > dead_nf,dead_nf > dead_nf,flowering > dead_nf > dead_nf,,1,blank,,,,9,4,,,1,nf,nf,,,,,1,nf,,,,,,,16
129,1,C,1C,63,1C63,vegetative,vegetative,dead_nf,flowering,vegetative > dead_nf,dead_nf > flowering,vegetative > dead_nf > flowering,refound?,1,blank,,1,,,,,,1,nf,nf,,,,,1,blank,,3,3,2,1,,13
130,1,C,1C,64,1C64,vegetative,vegetative,vegetative,flowering,vegetative > vegetative,vegetative > flowering,vegetative > vegetative > flowering,,1,blank,,1,,,,,,1,blank,,,,,,1,blank,,5,4,2,1,,16
131,1,C,1C,65,1C65,vegetative,vegetative,flowering,dead_nf,vegetative > flowering,flowering > dead_nf,vegetative > flowering > dead_nf,,1,blank,,1,,,,,,1,blank,,1,,,,1,nf,,,,,,,5
132,1,C,1C,66,1C66,vegetative,vegetative,vegetative,dead_nf,vegetative > vegetative,vegetative > dead_nf,vegetative > vegetative > dead_nf,died and nf?,1,blank,,1,,,,,,1,blank,,,,,,1,nf,,,,,,,4
133,1,C,1C,67,1C67,vegetative,dead_nf,dead_nf,dead_nf,vegetative > dead_nf,dead_nf > dead_nf,vegetative > dead_nf > dead_nf,,1,blank,,1,,1,,,2,1,nf,nf,,,,1,1,nf,,,,,,,8
134,1,C,1C,68,1C68,vegetative,vegetative,dead_nf,dead_nf,vegetative > dead_nf,dead_nf > dead_nf,vegetative > dead_nf > dead_nf,,1,blank,,1,,,,,,1,dead,dead,,,,,1,nf,,,,,,,4
