index	plot	subplot	plotid	plant	plantid	status_18	status_18r2	status_19	status_20	transition_1819	transition_1920	transition_181920	check_19_20_20	census18	notes_18	other_notes_18	census18r2	other_notes_18r2	pheno18	floral18	seeds18	leaf18	licor18	census19	notes_19	other_notes_19	pheno19	floral19	seeds19	leaf19	licor19	census20	notes_20	other_notes_20	pheno20	floral20	volatiles20	seeds20	leaf20	licor20	total_obs
60	1	B	1B	657	1B657	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		2	tagnf		1					2		2	blank		3	5	1			1	nf								17
61	1	B	1B	658	1B658	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		2	blank		1							2	blank						2	1	blank		4	2		1			15
62	1	B	1B	659	1B659	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		2	blank		1							2	ts	2 ts						1	blank						2		8
63	1	B	1B	660	1B660	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		2	blank		1					2		2	ts	4 ts				1	2	1	chewed								11
64	1	B	1B	661	1B661	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		2	blank		1							2	nf	nf						1	nf						2		8
65	1	B	1B	662	1B662	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		2	blank		1							2	blank					2	2	1								2	12
66	1	B	1B	662_18	1B662_18														1																						1
67	1	B	1B	663	1B663	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		2	blank		1							2	blank							1	blank								6
68	1	B	1B	664	1B664	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		2	blank				8	6	1			2	dead	dead						1	nf								20
69	1	B	1B	665	1B665	flowering	vegetative	vegetative	vegetative	flowering > vegetative	vegetative > vegetative	flowering > vegetative > vegetative		2	blank		1		1		1			2	ts	down from tag, ts						2	nf								9
70	1	B	1B	666	1B666	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		2	blank		1							2	blank	L of tag by about 1 inch						1	blank								6
71	1	B	1B	667	1B667	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		2	blank		1						2	2	dead	dead						1	nf								8
72	1	B	1B	668	1B668	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		2	blank				14	2				2	nf	nf						1	nf								21
73	1	B	1B	669	1B669	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		2	blank		1							2	blank					2		1	blank							1	9
74	1	B	1B	670	1B670	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		2	blank		1					1		2	blank		3	4	1			1	nf								15
75	1	B	1B	671	1B671	vegetative	vegetative	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf		2	blank		1							2	ts	1 ts						1	dead								6
76	1	B	1B	672	1B672	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		2	blank		1							2	blank						2	1	blank		5	5	1	1			20
77	1	B	1B	673	1B673	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		2	blank		1							2	ts	1 ts						1	blank								6
78	1	B	1B	674	1B674	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		2	blank		1							2	blank							1	blank						2		8
79	1	B	1B	675	1B675	flowering	vegetative	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		2	blank		1		12		1			2	dead	dead						1	nf								19
80	1	B	1B	676	1B676	vegetative	no_record	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		2	tagnf									2	dead	dead						1	tagnf								5
81	1	B	1B	677	1B677	vegetative	vegetative	vegetative	tagnf	vegetative > vegetative	vegetative > tagnf	vegetative > vegetative > tagnf		2	blank		1							2	blank					2		1	tagnf								8
82	1	B	1B	678	1B678	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		2	blank				14	5	1			2	nf	nf						1	nf								25
83	1	B	1B	684	1B684	vegetative	vegetative	flowering	vegetative	vegetative > flowering	flowering > vegetative	vegetative > flowering > vegetative	flowered and lived?	2	blank		1					2	2	2	blank		3	6	2			1	blank							2	23
84	1	B	1B	685	1B685	vegetative	no_record	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		2	tagnf									2	blank							1	tagnf								5
85	1	B	1B	687	1B687																						1														1
86	1	B	1B	99	1B99	no_record	no_record	no_record	dead_nf	no_record > no_record	no_record > dead_nf	no_record > no_record > dead_nf	check tag #						11	2	1											1	nf								15
87	1	B	1B	NA	1BNA														1																						1
88	1	C	1C	275	1C275																1																				1
89	1	C	1C	279	1C279																1																				1
90	1	C	1C	29	1C29														1																						1
91	1	C	1C	29_19	1C29_19																						1														1
92	1	C	1C	35	1C35																						1														1
93	1	C	1C	42	1C42	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1							1	dead	dead						1	nf								4
94	1	C	1C	43	1C43	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1	blank		1							1	blank		5	6	1			1	nf								16
95	1	C	1C	44	1C44	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1					2	2	1	nf	nf						1	nf								8
96	1	C	1C	45	1C45	vegetative	vegetative	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	died and nf?	1	blank		1							1	ts	ts						1	nf								4
97	1	C	1C	46	1C46	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1						2	1	blank					2	2	1	blank		5	4	1	1			21
98	1	C	1C	47	1C47	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1	blank		1	looks like ther were 4 rossettes but one died						1	blank		4	6	2			1	nf	tag found detached, not near any plants							16
99	1	C	1C	48	1C48	vegetative	recheck	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1	couldn't find						1	blank							1	blank								4
100	1	C	1C	49	1C49	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1					2		1	blank					1	2	1	blank						2	3	14
101	1	C	1C	49_19	1C49_19																						1														1
102	1	C	1C	50	1C50	flowering	flowering	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank		1	flowering plant?	12	6	1			1	dead	dead						1	nf								23
103	1	C	1C	51	1C51	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1							1	dead	dead						1	nf								4
104	1	C	1C	52	1C52	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1						3	1	dead	dead						1	nf								7
105	1	C	1C	53	1C53	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank					2		1	blank								6
106	1	C	1C	54	1C54	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	blank							1	blank		4	3		1			12
107	1	C	1C	55	1C55	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	ts	ts					2	1	blank						2	2	10
108	1	C	1C	56	1C56	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	ts	5ts						1	blank						2	2	8
109	1	C	1C	57	1C57	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1						2	1	blank						2	1	blank								8
110	1	C	1C	58	1C58	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	tagnf last year	1	blank		1							1	tagnf	tagnf						1	blank						2		6
111	1	C	1C	59	1C59	vegetative	dead_nf	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1	completely dead and uprooted						1	nf	nf															3
112	1	C	1C	59_20	1C59_20	no_record	no_record	no_record	dead_nf	no_record > no_record	no_record > dead_nf	no_record > no_record > dead_nf																				3	nf								3
113	1	C	1C	60	1C60	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1					2		1	blank					3	2	1	blank		5	4	2	1			23
114	1	C	1C	61	1C61	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank				10	7	1			1	nf	nf						1	nf								21
115	1	C	1C	62	1C62	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank				9	4				1	nf	nf						1	nf								16
116	1	C	1C	63	1C63	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	refound?	1	blank		1							1	nf	nf						1	blank		3	3	2	1			13
117	1	C	1C	64	1C64	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	blank						2	1	blank		5	4	2	1			18
118	1	C	1C	65	1C65	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1	blank		1							1	blank		1					1	nf								5
119	1	C	1C	66	1C66	vegetative	vegetative	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	died and nf?	1	blank		1							1	blank							1	nf								4
120	1	C	1C	67	1C67	vegetative	dead_nf	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf		1	blank		1					2	2	1	nf	nf				1		1	nf								9
121	1	C	1C	67_18	1C67_18														1																						1
122	1	C	1C	68	1C68	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1							1	dead	dead						1	nf								4
123	1	C	1C	69	1C69	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank							1	blank								4
124	1	C	1C	70	1C70	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank					2		1	blank								6
125	1	C	1C	71	1C71	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank							1	blank								4
126	1	C	1C	72	1C72	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1	blank		1						2	1	blank		5	5				1	nf								16
127	1	C	1C	73	1C73	vegetative	vegetative	vegetative	tagnf	vegetative > vegetative	vegetative > tagnf	vegetative > vegetative > tagnf		1	blank		1							1	ts	ts						1	tagnf								4
128	1	C	1C	74	1C74	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1							1	dead	dead						1	nf								4
129	1	C	1C	75	1C75	vegetative	vegetative	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	died and nf?	1	blank		1							1	blank						3	1	nf								7
130	1	C	1C	76	1C76	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank							1	blank							2	6
131	1	C	1C	77	1C77	vegetative	no_record	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf		1	tagnf									1	ts	ts						1	nf								3
132	1	C	1C	78	1C78	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1							1	nf	nf						1	nf								4
133	1	C	1C	79	1C79	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1							1	nf	nf						1	nf								4
134	1	D	1D	1	1D1	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1						2	1	nf	nf						1	nf								6
135	1	D	1D	10	1D10	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1							1	nf	nf						1	nf								4
136	1	D	1D	11	1D11	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	died and nf?	1	blank		1							1	blank	below tag by 1 inch						1	nf							2	6
137	1	D	1D	12	1D12	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	blank					2	2	1	blank		4	5	2	1			20
138	1	D	1D	13	1D13	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1							1	nf	nf														1	4
139	1	D	1D	13_20	1D13_20	no_record	no_record	no_record	dead_nf	no_record > no_record	no_record > dead_nf	no_record > no_record > dead_nf	refound?																			1	blank								1
140	1	D	1D	14	1D14	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	blank							1	tagnf			1		1			6
141	1	D	1D	15	1D15	vegetative	vegetative	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	chew death	1	blank		1							1	chewed	chewed, ts						1	nf								4
142	1	D	1D	16	1D16	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	flower or veg?	1	blank		1							1	blank						2	1	blank						2	1	9
143	1	D	1D	17	1D17	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	refound?	1	blank		1							1	nf	nf						1	blank		3	4	1	1			13
144	1	D	1D	18	1D18	vegetative	vegetative	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf		1	blank		1							1	chewed	chewed						1	nf								4
145	1	D	1D	19	1D19	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1	blank		1						2	1	blank		4	4	1			1	nf								15
146	1	D	1D	2	1D2	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1							1	nf	nf															3
147	1	D	1D	20	1D20	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	regrew?	1	blank		1							1	chewed	chewed				2	2	1	blank		4	3		1			16
148	1	D	1D	204	1D204																																	1			1
149	1	D	1D	21	1D21	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank							1	chewed								4
150	1	D	1D	22	1D22	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1							1	nf	nf						2	nf								5
151	1	D	1D	22_20	1D22_20																																	1			1
152	1	D	1D	23	1D23	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1							1	nf	nf						1	nf								4
153	1	D	1D	24	1D24	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	regrew?	1	blank		1					2		1	chewed	chewed, ts, down left of tag				1		1	blank		5	3	2	1			18
154	1	D	1D	25	1D25	vegetative	vegetative	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	died and nf?	1	blank		1							1	blank						2	1	nf								6
155	1	D	1D	26	1D26	vegetative	vegetative	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	died and nf?	1	blank		1							1	ts	ts, above plant by 1 inch						1	nf								4
