data_entry	observer	date	id	plot	subplot	plant	notes	flowering	rosettes	stalks	r1_longest	r1_leaves	r2_longest	r2_leaves	r3_longest	r3_leaves	r4_longest	r4_leaves	r5_longest	r5_leaves	r6_longest	r6_leaves	other_notes	plantid	check_19_20	plotid	year	n_rosettes	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_21_fixed	modified	status	flowered	survived	water	water4	sun_time	sun_date	warm_time	warm_date	snow	sun_date_normal_mean	melt_offset	water_begin	water_end	last_day	precip_prewater_mm	precip_postwater_mm	precip_est_mm
ST	XL	2020-06-12T00:00:00Z	1D-15	1	D	15	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D15	chew death	1D	2020	0				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-16	1	D	16	blank	y	one_or_more	1	43	4	55	9	36	3	23	7	NA	NA	NA	NA	NA	1D16	flower or veg?	1D	2020	4				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-17	1	D	17	blank	y	blank	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D17	refound?	1D	2020	NA				NA	vegetative > vegetative > flowering	vegetative	vegetative	dead_nf	FALSE	flowering	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-18	1	D	18	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D18	NA	1D	2020	0				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-19	1	D	19	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D19	NA	1D	2020	0				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-20	1	D	20	blank	y	one_or_more	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D20	regrew?	1D	2020	1				NA	vegetative > vegetative > flowering	vegetative	vegetative	dead_nf	FALSE	flowering	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-21	1	D	21	chewed	n	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D21	NA	1D	2020	0				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-22	1	D	22	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D22	NA	1D	2020	0		seeds20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-22	1	D	22	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D22	NA	1D	2020	0		seeds20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-23	1	D	23	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D23	NA	1D	2020	0				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-24	1	D	24	blank	y	one_or_more	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D24	regrew?	1D	2020	1				NA	vegetative > vegetative > flowering	vegetative	vegetative	dead_nf	FALSE	flowering	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-25	1	D	25	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D25	died and nf?	1D	2020	0				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-26	1	D	26	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D26	died and nf?	1D	2020	0				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-27	1	D	27	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D27	NA	1D	2020	0				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-28	1	D	28	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D28	died and nf?	1D	2020	0		pheno18		NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-29	1	D	29	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D29	NA	1D	2020	0				NA	flowering > dead_nf > dead_nf	flowering	dead_nf	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-30	1	D	30	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D30	NA	1D	2020	0				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-33	1	D	33	blank	y	blank	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D33	NA	1D	2020	NA				NA	vegetative > vegetative > flowering	vegetative	vegetative	dead_nf	FALSE	flowering	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-34	1	D	34	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D34	NA	1D	2020	0				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-37	1	D	37	blank	y	blank	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D37	NA	1D	2020	NA				NA	vegetative > vegetative > flowering	vegetative	vegetative	dead_nf	FALSE	flowering	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-38	1	D	38	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D38	NA	1D	2020	0				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-39	1	D	39_20	blank	n	one_or_more	NA	32	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D39_20	refound?	1D	2020	1		census20 leaf20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	TRUE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-40	1	D	40	blank	n	one_or_more	NA	29	15	32	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D40	NA	1D	2020	2				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-41	1	D	41	blank	n	one_or_more	NA	40	12	45	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D41	NA	1D	2020	2		pheno20		NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	ST	2020-06-12T00:00:00Z	1A-221	1	A	221	blank	n	one_or_more	NA	51	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A221	NA	1A	2020	1				NA	vegetative > vegetative > vegetative	vegetative	vegetative	tagnf	FALSE	vegetative	NA	NA	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-222	1	A	222	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A222	chew death	1A	2020	0				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	dead_nf	0	0	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-223	1	A	223	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A223	chew death	1A	2020	0				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	dead_nf	0	0	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-225	1	A	225	blank	n	one_or_more	NA	46	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A225	NA	1A	2020	1		pheno18		NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-228	1	A	228	blank	n	one_or_more	NA	32	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A228	NA	1A	2020	1				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-229	1	A	229	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A229	died and nf?	1A	2020	0				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	dead_nf	0	0	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-230	1	A	230	blank	y	blank	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A230	NA	1A	2020	NA				NA	vegetative > vegetative > flowering	vegetative	vegetative	dead_nf	FALSE	flowering	0	0	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-231	1	A	231	blank	y	one_or_more	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A231	regrew?	1A	2020	2				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	flowering	1	1	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-232	1	A	232	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A232	NA	1A	2020	0				NA	flowering > dead_nf > dead_nf	flowering	dead_nf	dead_nf	FALSE	dead_nf	0	0	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-233	1	A	233	blank	n	one_or_more	NA	19	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A233	tagnf last year	1A	2020	1				NA	vegetative > vegetative > flowering	vegetative	vegetative	dead_nf	FALSE	flowering	0	0	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-234	1	A	234	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A234	NA	1A	2020	0				NA	flowering > dead_nf > dead_nf	flowering	dead_nf	dead_nf	FALSE	dead_nf	0	0	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-235	1	A	235	blank	y	blank	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A235	NA	1A	2020	NA		floral18		NA	vegetative > vegetative > flowering	vegetative	vegetative	dead_nf	FALSE	flowering	0	0	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-237	1	A	237	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A237	died and nf?	1A	2020	0		pheno18 pheno20		NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	dead_nf	0	0	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-240	1	A	240	blank	y	blank	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A240	NA	1A	2020	NA				NA	vegetative > vegetative > flowering	vegetative	vegetative	dead_nf	FALSE	flowering	0	0	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-243	1	A	243	blank	y	one_or_more	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A243	NA	1A	2020	3				NA	vegetative > vegetative > flowering	vegetative	vegetative	dead_nf	FALSE	flowering	0	0	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-244	1	A	244	blank	y	blank	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A244	check tag #	1A	2020	NA				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	flowering	1	1	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-246	1	A	246	blank	y	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A246	rosettes? flowered twice?	1A	2020	NA				NA	vegetative > flowering > flowering	vegetative	flowering	dead_nf	FALSE	flowering	0	0	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-246	1	A	246	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	duplicate tag #246	1A246	NA	1A	2020	0				NA	vegetative > flowering > flowering	vegetative	flowering	dead_nf	FALSE	flowering	0	0	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-249	1	A	249	blank	n	one_or_more	NA	46	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A249	fixed 2019 (1B->1A)	1A	2020	1				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
ST	ST	2020-06-12T00:00:00Z	1A-255	1	A	255	blank	y	one_or_more	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1A255	fixed 2019 (1B->1A)	1A	2020	2				NA	vegetative > vegetative > flowering	vegetative	vegetative	vegetative	FALSE	flowering	0	1	Addition	Addition	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	131.2387840291964	178.38114083793255
