plot	subplot	plotid	plant	plantid	status_18	status_18r2	status_19	status_20	status_21	check_19_20_20	other_notes_18	notes_18	other_notes_18r2	notes_18r2	other_notes_19	notes_19	notes_20	other_notes_20	notes1818r2_19_20chk1920_21	other_notes_21	transition_1819	transition_1920	transition_181920	transition_18192021	flowering_status_18	flowering_status_18r2	flowering_status_19	flowering_status_20	flowering_status_21	alive_status_18	alive_status_18r2	alive_status_19	alive_status_20	alive_status_21
1	A	1A	232	1A232	flowering	no_record	dead_nf	dead_nf	dead_nf	NA	NA	blank	NA	NA	dead	dead	nf	NA	,|dead|,	NA	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf	flowering > dead_nf > dead_nf > dead_nf	1	NA	0	0	0	1	NA	0	0	0
1	A	1A	233	1A233	vegetative	no_record	vegetative	flowering	tagnf	NA	missing	tagnf	NA	NA	tagnf	tagnf	blank	NA	missing,|tagnf|,	NA	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > tagnf	0	NA	0	1	NA	1	NA	1	1	NA
1	A	1A	234	1A234	flowering	no_record	dead_nf	dead_nf	dead_nf	NA	broken	blank	NA	NA	dead	dead	nf	NA	broken,|dead|,	NA	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf	flowering > dead_nf > dead_nf > dead_nf	1	NA	0	0	0	1	NA	0	0	0
1	A	1A	235	1A235	vegetative	no_record	vegetative	flowering	dead_nf	NA	missing	tagnf	NA	NA	below right	blank	blank	NA	missing,|below right|,	NA	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > dead_nf	0	NA	0	1	0	1	NA	1	1	0
1	A	1A	236	1A236	vegetative	vegetative	flowering	dead_nf	tagnf	NA	NA	blank	NA	blank	NA	blank	nf	NA	,||,	NA	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf	vegetative > flowering > dead_nf > tagnf	0	0	1	0	NA	1	1	1	0	NA
1	A	1A	237	1A237	vegetative	vegetative	vegetative	dead_nf	dead_nf	died and nf?	NA	blank	NA	blank	NA	blank	nf	NA	,||,died and nf?	NA	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	vegetative > vegetative > dead_nf > dead_nf	0	0	0	0	0	1	1	1	0	0
1	A	1A	238	1A238	flowering	no_record	dead_nf	dead_nf	dead_nf	NA	NA	blank	NA	NA	dead	dead	nf	NA	,|dead|,	NA	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf	flowering > dead_nf > dead_nf > dead_nf	1	NA	0	0	0	1	NA	0	0	0
1	A	1A	239	1A239	vegetative	vegetative	flowering	dead_nf	dead_nf	NA	NA	blank	NA	blank	NA	blank	nf	NA	,||,	NA	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf	vegetative > flowering > dead_nf > dead_nf	0	0	1	0	0	1	1	1	0	0
1	A	1A	240	1A240	vegetative	vegetative	vegetative	flowering	tagnf	NA	NA	blank	NA	blank	NA	blank	blank	NA	,||,	NA	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > tagnf	0	0	0	1	NA	1	1	1	1	NA
1	A	1A	241	1A241	vegetative	vegetative	vegetative	dead_nf	tagnf	NA	NA	blank	NA	blank	NA	blank	nf	NA	,||,	NA	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	vegetative > vegetative > dead_nf > tagnf	0	0	0	0	NA	1	1	1	0	NA
1	A	1A	242	1A242	vegetative	vegetative	vegetative	dead_nf	dead_nf	NA	NA	blank	NA	blank	NA	blank	nf	NA	,||,	NA	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	vegetative > vegetative > dead_nf > dead_nf	0	0	0	0	0	1	1	1	0	0
1	A	1A	243	1A243	vegetative	vegetative	vegetative	flowering	dead_nf	NA	might have 4	blank	NA	blank	NA	blank	blank	NA	might have 4,||,	NA	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > dead_nf	0	0	0	1	0	1	1	1	1	0
1	A	1A	244	1A244	vegetative	vegetative	vegetative	flowering	flowering	check tag #	might have 4 rosettes	blank	NA	blank	directly above tag	blank	blank	NA	might have 4 rosettes,|directly above tag|,check tag #	NA	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > flowering	0	0	0	1	1	1	1	1	1	1
1	A	1A	245	1A245	vegetative	vegetative	vegetative	vegetative	vegetative	NA	NA	blank	NA	blank	NA	blank	blank	NA	,||,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > vegetative	0	0	0	0	0	1	1	1	1	1
1	A	1A	246	1A246	vegetative	vegetative	flowering	flowering	dead_nf	flowered twice?	NA	blank	NA	blank	NA	blank	blank	NA	,||,flowered twice?	two duplicate 246 tags, other one NF	vegetative > flowering	flowering > flowering	vegetative > flowering > flowering	vegetative > flowering > flowering > dead_nf	0	0	1	1	0	1	1	1	1	0
1	A	1A	247	1A247	vegetative	vegetative	vegetative	no_record	tagnf	NA	NA	blank	NA	blank	ts	ts	NA	NA	,|ts|,	NA	vegetative > vegetative	vegetative > no_record	vegetative > vegetative > no_record	vegetative > vegetative > no_record > tagnf	0	0	0	NA	NA	1	1	1	NA	NA
1	A	1A	248	1A248	vegetative	vegetative	dead_nf	dead_nf	tagnf	NA	NA	blank	NA	blank	dead	dead	NA	NA	,|dead|,	NA	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf	vegetative > dead_nf > dead_nf > tagnf	0	0	0	0	NA	1	1	0	0	NA
1	A	1A	249	1A249	vegetative	vegetative	vegetative	vegetative	vegetative	fixed 2019 (1B->1A)	NA	blank	NA	blank	eaten	chewed	blank	NA	,|eaten|,fixed 2019 (1B->1A)	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > vegetative	0	0	0	0	0	1	1	1	1	1
1	A	1A	250	1A250	vegetative	vegetative	vegetative	flowering	dead_nf	check tag #	NA	blank	NA	blank	NA	blank	blank	NA	,||,check tag #	NA	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > dead_nf	0	0	0	1	0	1	1	1	1	0
1	A	1A	251	1A251	vegetative	vegetative	vegetative	flowering	vegetative	NA	NA	blank	NA	blank	below & left of tag	blank	blank	NA	,|below & left of tag|,	NA	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > vegetative	0	0	0	1	0	1	1	1	1	1
1	A	1A	252	1A252	vegetative	vegetative	vegetative	no_record	dead_nf	NA	NA	blank	NA	blank	NA	blank	NA	NA	,||,	NA	vegetative > vegetative	vegetative > no_record	vegetative > vegetative > no_record	vegetative > vegetative > no_record > dead_nf	0	0	0	NA	0	1	1	1	NA	0
1	A	1A	253	1A253	flowering	vegetative	dead_nf	dead_nf	dead_nf	fixed 2019 (1B->1A)	NA	blank	NA	blank	dead	dead	nf	NA	,|dead|,fixed 2019 (1B->1A)	NA	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf	flowering > dead_nf > dead_nf > dead_nf	1	0	0	0	0	1	1	0	0	0
1	A	1A	254	1A254	vegetative	vegetative	dead_nf	dead_nf	dead_nf	fixed 2019 (1B->1A)	NA	blank	NA	blank	nf	nf	nf	NA	,|nf|,fixed 2019 (1B->1A)	NA	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf	vegetative > dead_nf > dead_nf > dead_nf	0	0	0	0	0	1	1	0	0	0
1	A	1A	255	1A255	vegetative	vegetative	vegetative	flowering	vegetative	fixed 2019 (1B->1A)	NA	blank	NA	blank	eaten	chewed	blank	NA	,|eaten|,fixed 2019 (1B->1A)	NA	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > vegetative	0	0	0	1	0	1	1	1	1	1
1	A	1A	256	1A256	vegetative	vegetative	dead_nf	dead_nf	dead_nf	fixed 2019 (1B->1A)	NA	blank	NA	blank	nf	nf	nf	NA	,|nf|,fixed 2019 (1B->1A)	NA	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf	vegetative > dead_nf > dead_nf > dead_nf	0	0	0	0	0	1	1	0	0	0
1	A	1A	257	1A257	vegetative	vegetative	vegetative	flowering	tagnf	NA	NA	blank	NA	blank	NA	blank	blank	NA	,||,	NA	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > tagnf	0	0	0	1	NA	1	1	1	1	NA
1	A	1A	258	1A258	vegetative	no_record	flowering	dead_nf	dead_nf	NA	NA	NA	NA	NA	NA	blank	nf	NA	,||,	NA	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf	vegetative > flowering > dead_nf > dead_nf	0	NA	1	0	0	1	NA	1	0	0
1	A	1A	259	1A259	vegetative	no_record	flowering	dead_nf	dead_nf	NA	NA	NA	NA	NA	NA	blank	nf	NA	,||,	NA	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf	vegetative > flowering > dead_nf > dead_nf	0	NA	1	0	0	1	NA	1	0	0
1	B	1B	647	1B647	vegetative	vegetative	vegetative	vegetative	vegetative	NA	NA	blank	NA	blank	1 ts	ts	blank	NA	,|1 ts|,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > vegetative	0	0	0	0	0	1	1	1	1	1
1	B	1B	648	1B648	vegetative	vegetative	flowering	dead_nf	dead_nf	NA	NA	blank	NA	blank	NA	blank	nf	NA	,||,	NA	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf	vegetative > flowering > dead_nf > dead_nf	0	0	1	0	0	1	1	1	0	0
1	B	1B	649	1B649	vegetative	vegetative	vegetative	flowering	dead_nf	NA	NA	blank	NA	blank	NA	blank	blank	NA	,||,	NA	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > dead_nf	0	0	0	1	0	1	1	1	1	0
1	B	1B	650	1B650	vegetative	vegetative	vegetative	flowering	dead_nf	NA	NA	blank	NA	blank	NA	blank	blank	NA	,||,	NA	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > dead_nf	0	0	0	1	0	1	1	1	1	0
1	B	1B	651	1B651	vegetative	vegetative	dead_nf	dead_nf	dead_nf	NA	NA	blank	NA	blank	dead	dead	nf	NA	,|dead|,	NA	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf	vegetative > dead_nf > dead_nf > dead_nf	0	0	0	0	0	1	1	0	0	0
1	B	1B	652	1B652	vegetative	vegetative	vegetative	vegetative	flowering	NA	NA	blank	JP: changed r2_longest from 266 > 26 on 2021-11-09	blank	UL of tag, ts	ts	blank	NA	,|UL of tag, ts|,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > flowering	0	0	0	0	1	1	1	1	1	1
1	B	1B	653	1B653	vegetative	vegetative	vegetative	flowering	dead_nf	NA	NA	blank	NA	blank	NA	blank	blank	NA	,||,	NA	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > dead_nf	0	0	0	1	0	1	1	1	1	0
1	B	1B	654	1B654	vegetative	vegetative	dead_nf	dead_nf	dead_nf	NA	NA	blank	NA	blank	nf	nf	nf	NA	,|nf|,	NA	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf	vegetative > dead_nf > dead_nf > dead_nf	0	0	0	0	0	1	1	0	0	0
1	B	1B	655	1B655	flowering	no_record	dead_nf	dead_nf	dead_nf	NA	NA	blank	NA	NA	nf	nf	nf	NA	,|nf|,	NA	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf	flowering > dead_nf > dead_nf > dead_nf	1	NA	0	0	0	1	NA	0	0	0
1	B	1B	656	1B656	vegetative	vegetative	vegetative	flowering	dead_nf	NA	NA	blank	NA	blank	2 ts	ts	blank	NA	,|2 ts|,	NA	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > dead_nf	0	0	0	1	0	1	1	1	1	0
1	B	1B	657	1B657	vegetative	vegetative	flowering	dead_nf	dead_nf	NA	NA	tagnf	NA	blank	NA	blank	nf	NA	,||,	NA	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf	vegetative > flowering > dead_nf > dead_nf	0	0	1	0	0	1	1	1	0	0
1	B	1B	658	1B658	vegetative	vegetative	vegetative	flowering	dead_nf	NA	NA	blank	NA	blank	NA	blank	blank	NA	,||,	recheck - says D and F last year but has rosettes? Count and length close to 1B669.	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > dead_nf	0	0	0	1	0	1	1	1	1	0
1	B	1B	659	1B659	vegetative	vegetative	vegetative	vegetative	vegetative	NA	NA	blank	NA	blank	2 ts	ts	blank	NA	,|2 ts|,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > vegetative	0	0	0	0	0	1	1	1	1	1
1	B	1B	660	1B660	vegetative	vegetative	vegetative	vegetative	vegetative	NA	NA	blank	NA	blank	4 ts	ts	chewed	NA	,|4 ts|,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > vegetative	0	0	0	0	0	1	1	1	1	1
1	B	1B	661	1B661	vegetative	vegetative	vegetative	vegetative	vegetative	NA	NA	blank	NA	blank	nf	nf	nf	NA	,|nf|,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > vegetative	0	0	0	0	0	1	1	1	1	1
1	B	1B	662	1B662	vegetative	vegetative	vegetative	vegetative	vegetative	NA	NA	blank	NA	blank	NA	blank	NA	NA	,||,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > vegetative	0	0	0	0	0	1	1	1	1	1
1	B	1B	663	1B663	vegetative	vegetative	vegetative	vegetative	vegetative	NA	NA	blank	NA	blank	NA	blank	blank	NA	,||,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > vegetative	0	0	0	0	0	1	1	1	1	1
1	B	1B	664	1B664	flowering	no_record	dead_nf	dead_nf	dead_nf	NA	NA	blank	NA	NA	dead	dead	nf	NA	,|dead|,	NA	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf	flowering > dead_nf > dead_nf > dead_nf	1	NA	0	0	0	1	NA	0	0	0
1	B	1B	665	1B665	flowering	vegetative	vegetative	vegetative	vegetative	NA	NA	blank	NA	blank	down from tag, ts	ts	nf	NA	,|down from tag, ts|,	one below tag	flowering > vegetative	vegetative > vegetative	flowering > vegetative > vegetative	flowering > vegetative > vegetative > vegetative	1	0	0	0	0	1	1	1	1	1
1	B	1B	666	1B666	vegetative	vegetative	vegetative	vegetative	flowering	NA	NA	blank	NA	blank	L of tag by about 1 inch	blank	blank	NA	,|L of tag by about 1 inch|,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > flowering	0	0	0	0	1	1	1	1	1	1
1	B	1B	667	1B667	vegetative	vegetative	dead_nf	dead_nf	dead_nf	NA	NA	blank	NA	blank	dead	dead	nf	NA	,|dead|,	NA	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf	vegetative > dead_nf > dead_nf > dead_nf	0	0	0	0	0	1	1	0	0	0
1	B	1B	668	1B668	flowering	no_record	dead_nf	dead_nf	dead_nf	NA	NA	blank	NA	NA	nf	nf	nf	NA	,|nf|,	NA	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf	flowering > dead_nf > dead_nf > dead_nf	1	NA	0	0	0	1	NA	0	0	0
1	B	1B	669	1B669	vegetative	vegetative	vegetative	vegetative	vegetative	NA	NA	blank	NA	blank	NA	blank	blank	NA	,||,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > vegetative	0	0	0	0	0	1	1	1	1	1
1	B	1B	670	1B670	vegetative	vegetative	flowering	dead_nf	tagnf	NA	NA	blank	NA	blank	NA	blank	nf	NA	,||,	NA	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf	vegetative > flowering > dead_nf > tagnf	0	0	1	0	NA	1	1	1	0	NA
1	B	1B	671	1B671	vegetative	vegetative	vegetative	dead_nf	tagnf	NA	NA	blank	NA	blank	1 ts	ts	dead	NA	,|1 ts|,	NA	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	vegetative > vegetative > dead_nf > tagnf	0	0	0	0	NA	1	1	1	0	NA
1	B	1B	672	1B672	vegetative	vegetative	vegetative	flowering	dead_nf	NA	NA	blank	NA	blank	NA	blank	blank	NA	,||,	NA	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > dead_nf	0	0	0	1	0	1	1	1	1	0
1	B	1B	673	1B673	vegetative	vegetative	vegetative	vegetative	vegetative	NA	NA	blank	NA	blank	1 ts	ts	blank	NA	,|1 ts|,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > vegetative	0	0	0	0	0	1	1	1	1	1
1	B	1B	674	1B674	vegetative	vegetative	vegetative	vegetative	vegetative	NA	NA	blank	NA	blank	NA	blank	blank	NA	,||,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > vegetative	0	0	0	0	0	1	1	1	1	1
1	B	1B	675	1B675	flowering	vegetative	dead_nf	dead_nf	dead_nf	NA	NA	blank	NA	blank	dead	dead	nf	NA	,|dead|,	NA	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf	flowering > dead_nf > dead_nf > dead_nf	1	0	0	0	0	1	1	0	0	0
1	B	1B	676	1B676	vegetative	no_record	dead_nf	dead_nf	tagnf	NA	NA	tagnf	NA	NA	dead	dead	tagnf	NA	,|dead|,	NA	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf	vegetative > dead_nf > dead_nf > tagnf	0	NA	0	0	NA	1	NA	0	0	NA
1	B	1B	677	1B677	vegetative	vegetative	vegetative	tagnf	flowering	NA	NA	blank	NA	blank	NA	blank	tagnf	NA	,||,	NA	vegetative > vegetative	vegetative > tagnf	vegetative > vegetative > tagnf	vegetative > vegetative > tagnf > flowering	0	0	0	NA	1	1	1	1	NA	1
1	B	1B	678	1B678	flowering	no_record	dead_nf	dead_nf	dead_nf	NA	NA	blank	NA	NA	nf	nf	nf	NA	,|nf|,	NA	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf	flowering > dead_nf > dead_nf > dead_nf	1	NA	0	0	0	1	NA	0	0	0
1	B	1B	684	1B684	vegetative	vegetative	flowering	vegetative	flowering	flowered and lived?	NA	blank	NA	blank	NA	blank	blank	NA	,||,flowered and lived?	NA	vegetative > flowering	flowering > vegetative	vegetative > flowering > vegetative	vegetative > flowering > vegetative > flowering	0	0	1	0	1	1	1	1	1	1
1	B	1B	685	1B685	vegetative	no_record	flowering	dead_nf	tagnf	NA	NA	tagnf	NA	NA	NA	blank	tagnf	NA	,||,	NA	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf	vegetative > flowering > dead_nf > tagnf	0	NA	1	0	NA	1	NA	1	0	NA
1	C	1C	42	1C42	vegetative	vegetative	dead_nf	dead_nf	dead_nf	NA	NA	blank	NA	blank	dead	dead	nf	NA	,|dead|,	NA	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf	vegetative > dead_nf > dead_nf > dead_nf	0	0	0	0	0	1	1	0	0	0
1	C	1C	43	1C43	vegetative	vegetative	flowering	dead_nf	tagnf	NA	NA	blank	NA	blank	NA	blank	nf	NA	,||,	NA	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf	vegetative > flowering > dead_nf > tagnf	0	0	1	0	NA	1	1	1	0	NA
1	C	1C	44	1C44	vegetative	vegetative	dead_nf	dead_nf	dead_nf	NA	NA	blank	NA	blank	nf	nf	nf	NA	,|nf|,	NA	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf	vegetative > dead_nf > dead_nf > dead_nf	0	0	0	0	0	1	1	0	0	0
1	C	1C	45	1C45	vegetative	vegetative	vegetative	dead_nf	tagnf	died and nf?	NA	blank	NA	blank	ts	ts	nf	NA	,|ts|,died and nf?	NA	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	vegetative > vegetative > dead_nf > tagnf	0	0	0	0	NA	1	1	1	0	NA
1	C	1C	46	1C46	vegetative	vegetative	vegetative	flowering	dead_nf	NA	NA	blank	NA	blank	NA	blank	blank	NA	,||,	NA	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > dead_nf	0	0	0	1	0	1	1	1	1	0
1	C	1C	47	1C47	vegetative	vegetative	flowering	dead_nf	tagnf	NA	NA	blank	looks like ther were 4 rossettes but one died	blank	NA	blank	nf	tag found detached, not near any plants	,looks like ther were 4 rossettes but one died||tag found detached, not near any plants,	NA	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf	vegetative > flowering > dead_nf > tagnf	0	0	1	0	NA	1	1	1	0	NA
1	C	1C	48	1C48	vegetative	recheck	vegetative	vegetative	vegetative	NA	NA	blank	couldn't find	nf	NA	blank	blank	NA	,couldn't find||,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > vegetative	0	NA	0	0	0	1	NA	1	1	1
1	C	1C	49	1C49	vegetative	vegetative	vegetative	vegetative	flowering	NA	NA	blank	NA	blank	NA	blank	blank	NA	,||,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > flowering	0	0	0	0	1	1	1	1	1	1
1	C	1C	50	1C50	flowering	flowering	dead_nf	dead_nf	dead_nf	NA	NA	blank	flowering plant?	blank	dead	dead	nf	NA	,flowering plant?|dead|,	NA	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf	flowering > dead_nf > dead_nf > dead_nf	1	1	0	0	0	1	1	0	0	0
1	C	1C	51	1C51	vegetative	vegetative	dead_nf	dead_nf	dead_nf	NA	NA	blank	NA	blank	dead	dead	nf	NA	,|dead|,	NA	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf	vegetative > dead_nf > dead_nf > dead_nf	0	0	0	0	0	1	1	0	0	0
1	C	1C	52	1C52	vegetative	vegetative	dead_nf	dead_nf	dead_nf	NA	NA	blank	NA	blank	dead	dead	nf	NA	,|dead|,	NA	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf	vegetative > dead_nf > dead_nf > dead_nf	0	0	0	0	0	1	1	0	0	0
1	C	1C	53	1C53	vegetative	vegetative	vegetative	vegetative	flowering	NA	NA	blank	NA	blank	NA	blank	blank	NA	,||,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > flowering	0	0	0	0	1	1	1	1	1	1
1	C	1C	54	1C54	vegetative	vegetative	vegetative	flowering	dead_nf	NA	NA	blank	NA	blank	NA	blank	blank	NA	,||,	NA	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > dead_nf	0	0	0	1	0	1	1	1	1	0
1	C	1C	55	1C55	vegetative	vegetative	vegetative	vegetative	vegetative	NA	NA	blank	NA	blank	ts	ts	blank	NA	,|ts|,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > vegetative	0	0	0	0	0	1	1	1	1	1
