plantid	cen181920	size20	notes1818r2_19_20chk1920	data_entry	scribe	observer	date	other_notes	stalks	status	n_rosettes	r1_longest	r1_leaves	r2_longest	r2_leaves	r3_longest	r3_leaves	r4_longest	r4_leaves	r5_longest	r5_leaves	r6_longest	r6_leaves	r7_longest	r7_leaves	plot	subplot	plotid	plant	year	water	snow	plot_x	plot_y	subplot_x	subplot_y	water4
1A252	NA | V |NA	,,	,||,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	252	2021	Addition	Normal	0	0	-1	1	Addition
1A253	F |DNF|DNF	0,,	,|dead|,fixed 2019 (1B->1A)	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	253	2021	Addition	Normal	0	0	-1	1	Addition
1A254	V |DNF|DNF	0,,	,|nf|,fixed 2019 (1B->1A)	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	254	2021	Addition	Normal	0	0	-1	1	Addition
1A255	V | V | F	2,,	,|eaten|,fixed 2019 (1B->1A)	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	vegetative	1	10	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	255	2021	Addition	Normal	0	0	-1	1	Addition
1A256	V |DNF|DNF	0,,	,|nf|,fixed 2019 (1B->1A)	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	256	2021	Addition	Normal	0	0	-1	1	Addition
1A257	V | V | F	2,,	,||,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	257	2021	Addition	Normal	0	0	-1	1	Addition
1A258	V | F |DNF	0,,	,||,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	258	2021	Addition	Normal	0	0	-1	1	Addition
1A259	V | F |DNF	0,,	,||,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	259	2021	Addition	Normal	0	0	-1	1	Addition
1B199_20	NA |NA | V	1,19,60	,||,check tag #	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	199_20	2021	Control	Normal	0	0	1	1	Control
1B647	V | V | V	3,33,45	,|1 ts|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	vegetative	3	40	15	48	32	49	20	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	647	2021	Control	Normal	0	0	1	1	Control
1B648	V | F |DNF	0,,	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	648	2021	Control	Normal	0	0	1	1	Control
1B649	V | V | F	1,,	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	649	2021	Control	Normal	0	0	1	1	Control
1B650	V | V | F	1,,	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	650	2021	Control	Normal	0	0	1	1	Control
1B651	V |DNF|DNF	0,,	,|dead|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	651	2021	Control	Normal	0	0	1	1	Control
1B652	V | V | V	1,19,38	,|UL of tag, ts|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	3	flowering	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	652	2021	Control	Normal	0	0	1	1	Control
1B653	V | V | F	1,,	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	653	2021	Control	Normal	0	0	1	1	Control
1B654	V |DNF|DNF	0,,	,|nf|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	654	2021	Control	Normal	0	0	1	1	Control
1B655	F |DNF|DNF	0,,	,|nf|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	655	2021	Control	Normal	0	0	1	1	Control
1B656	V | V | F	2,,	,|2 ts|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	656	2021	Control	Normal	0	0	1	1	Control
1B657	V | F |DNF	0,,	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	657	2021	Control	Normal	0	0	1	1	Control
1B658	V | V | F	1,,	,||,	JP	JP	DH	2021-06-16T00:00:00Z	recheck - says D and F last year but has rosettes? Count and length close to 1B669.	NA	dead_nf	1	58	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	658	2021	Control	Normal	0	0	1	1	Control
1B659	V | V | V	1,17,32	,|2 ts|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	vegetative	2	34	7	20	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	659	2021	Control	Normal	0	0	1	1	Control
1B660	V | V | V	1,,42	,|4 ts|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	vegetative	2	50	26	35	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	660	2021	Control	Normal	0	0	1	1	Control
1B661	V | V | V	0,,	,|nf|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	vegetative	1	55	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	661	2021	Control	Normal	0	0	1	1	Control
1B662	V | V | V	,,	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	vegetative	1	34	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	662	2021	Control	Normal	0	0	1	1	Control
1B663	V | V | V	3,14,38	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	vegetative	1	48	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	663	2021	Control	Normal	0	0	1	1	Control
1B664	F |DNF|DNF	0,,	,|dead|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	664	2021	Control	Normal	0	0	1	1	Control
1B665	F | V | V	0,,	,|down from tag, ts|,	JP	JP	DH	2021-06-16T00:00:00Z	one below tag	NA	vegetative	2	33	9	44	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	665	2021	Control	Normal	0	0	1	1	Control
1B666	V | V | V	1,23,50	,|L of tag by about 1 inch|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	1	flowering	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	666	2021	Control	Normal	0	0	1	1	Control
1B667	V |DNF|DNF	0,,	,|dead|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	667	2021	Control	Normal	0	0	1	1	Control
1B668	F |DNF|DNF	0,,	,|nf|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	668	2021	Control	Normal	0	0	1	1	Control
1B669	V | V | V	1,15,61	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	vegetative	1	60	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	669	2021	Control	Normal	0	0	1	1	Control
1B670	V | F |DNF	0,,	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	670	2021	Control	Normal	0	0	1	1	Control
1B671	V | V |DNF	0,,	,|1 ts|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	671	2021	Control	Normal	0	0	1	1	Control
1B672	V | V | F	1,,	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	672	2021	Control	Normal	0	0	1	1	Control
1B673	V | V | V	1,8,22	,|1 ts|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	vegetative	1	51	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	673	2021	Control	Normal	0	0	1	1	Control
1B674	V | V | V	1,14,41	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	vegetative	1	37	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	674	2021	Control	Normal	0	0	1	1	Control
1B675	F |DNF|DNF	0,,	,|dead|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	675	2021	Control	Normal	0	0	1	1	Control
1B676	V |DNF|DNF	,,	,|dead|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	676	2021	Control	Normal	0	0	1	1	Control
1B677	V | V |TNF	,,	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	1	flowering	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	677	2021	Control	Normal	0	0	1	1	Control
1B678	F |DNF|DNF	0,,	,|nf|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	678	2021	Control	Normal	0	0	1	1	Control
1B684	V | F | V	1,17,45	,||,flowered and lived?	JP	JP	DH	2021-06-16T00:00:00Z	NA	1	flowering	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	684	2021	Control	Normal	0	0	1	1	Control
1B685	V | F |DNF	,,	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	685	2021	Control	Normal	0	0	1	1	Control
1B99	NA |NA |DNF	0,,	,||,check tag #	JP	JP	DH	2021-06-16T00:00:00Z	line below 99 (not 66)	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	B	1B	99	2021	Control	Normal	0	0	1	1	Control
1C42	V |DNF|DNF	0,,	,|dead|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	42	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C43	V | F |DNF	0,,	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	43	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C44	V |DNF|DNF	0,,	,|nf|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	44	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C45	V | V |DNF	0,,	,|ts|,died and nf?	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	45	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C46	V | V | F	2,,	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	46	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C47	V | F |DNF	0,,	,looks like ther were 4 rossettes but one died||tag found detached, not near any plants,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	47	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C48	V | V | V	1,17,64	,couldn't find||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	vegetative	2	57	10	18	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	48	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C49	V | V | V	1,19,58	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	1	flowering	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	49	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C50	F |DNF|DNF	0,,	,flowering plant?|dead|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	50	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C51	V |DNF|DNF	0,,	,|dead|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	51	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C52	V |DNF|DNF	0,,	,|dead|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	52	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C53	V | V | V	1,28,48	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	1	flowering	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	53	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C54	V | V | F	1,,	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	54	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C55	V | V | V	2,10,34	,|ts|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	vegetative	2	38	12	27	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	55	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C56	V | V | V	3,20,38	,|5ts|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	56	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C57	V | V | V	2,14,38	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	2	flowering	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	57	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C58	V | V | V	2,18,48	,|tagnf|,tagnf last year	JP	JP	DH	2021-06-16T00:00:00Z	2nd rosette wilted (so changed rosettes to 1)	NA	vegetative	1	25	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	58	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C59	V |DNF|DNF	,,	,completely dead and uprooted|nf|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	59	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C59_20	V |DNF|DNF	0,,	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	59_20	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C60	V | V | F	1,,	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	60	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C61	F |DNF|DNF	0,,	,|nf|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	61	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C62	F |DNF|DNF	0,,	,|nf|,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	62	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C63	V | V | F	1,,	,|nf|,refound?	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	63	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C64	V | V | F	,,	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	64	2021	Control	Normal	0	0	-1	-1	Mock rainout
1C65	V | F |DNF	0,,	,||,	JP	JP	DH	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	C	1C	65	2021	Control	Normal	0	0	-1	-1	Mock rainout
